sku,color,barcode
4012460,,11395
4012461,,11396
4012461,,11397
4012462,,11398
4012462,,11399
2012604,,11400
2012604,,11401
4012463,,11402
4012464,,11403
4012465,,11404
4012465,,11405
4012466,,11406
4012466,,11407
5012310,,11408
5012310,,11409
4012467,,11410
4012467,,11411
4012468,,11412
2012608,,11413
2012608,,11414
4012469,,11415
4012470,,11416
4012470,,11417
4012470,,11418
4012470,,11419
4012495,,11420
5012311,,11421
5012311,,11422
5012312,,11423
5012312,,11424
5012313,,11425
4012471,,11426
4012472,,11427
4012472,,11428
4012472,,11429
4012473,,11430
4012473,,11431
4012473,,11432
4012473,,11433
4012473,,11434
4012474,,11435
4012474,,11436
4012475,,11437
4012475,,11438
4012475,,11439
4012476,,11440
4012476,,11441
4012476,,11442
5012314,,11443
3017807,,11444
3017807,,11445
4012477,,11446
4012478,,11447
4012479,,11448
4012479,,11449
4012480,,11450
4012480,,11451
4012481,,11452
4012481,,11453
4012481,,11454
4012477,,11455
4012482,,11456
4012482,,11457
4012606,,11458
4012606,,11459
4012483,,11460
4012483,,11461
4012483,,11462
5012315,,11463
5012316,,11464
4012484,,11465
5012317,,11466
4012485,,11467
4012485,,11468
4012605,,11469
4012605,,11470
4012487,,11471
4012487,,11472
4012488,,11473
4012488,,11474
4012489,,11475
4012489,,11476
4012491,,11479
4012491,,11480
4012492,,11481
4012492,,11482
4012493,,11483
6012291,,11484
6012291,,11485
6012291,,11486
6012291,,11487
6012291,,11488
6012291,,11489
6012291,,11490
6012291,,11491
6012291,,11492
6012292,,11493
6012292,,11494
6012292,,11495
6012292,,11496
6012292,,11497
6012292,,11498
6012292,,11499
6012292,,11500
6012292,,11501
2012607,,11502
2012607,,11503
4012494,,11504
4012494,,11505
3013047,,11506
2012611,,11507
2012611,,11508
2012610,,11509
2012610,,11510
5012318,,11511
5012318,,11512
5012318,,11513
5012319,,11514
2012612,,11515
2012612,,11516
5012320,,11517
5012321,,11518
2012613,,11519
2012613,,11520
2012613,,11521
5012322,,11522
2012614,,11523
2012614,,11524
4012496,,11525
4012496,,11526
4012496,,11527
4012497,,11528
4012497,,11529
2012615,,11530
2012615,,11531
5012323,,11532
5012323,,11533
5012324,,11534
5012324,,11535
5012325,,11536
5012326,,11537
5012327,,11538
5012327,,11539
4012498,,11540
4012498,,11541
4012498,,11542
4012498,,11543
4012498,,11544
2012555,,11545
3013048,,11546
3013048,,11547
3013048,,11548
3013048,,11549
3013048,,11550
6012293,,11551
6012293,,11552
6012293,,11553
6012293,,11554
6012294,,11555
6012294,,11556
6012294,,11557
6012294,,11558
6012295,,11559
6012295,,11560
6012295,,11561
6012295,,11562
6012293,,11563
6012293,,11564
6012293,,11565
6012293,,11566
6012294,,11567
6012294,,11568
6012294,,11569
6012294,,11570
6012295,,11571
6012295,,11572
6012295,,11573
6012295,,11574
4012499,,11575
4012500,,11576
6062070,,11577
6012296,,11578
3017809,,11579
3017809,,11580
3017810,,11581
